#Chr 	 Coordinate 	 Replication Timing
1	120500000	0.990909091
1	120700000	0.990909091
1	120900000	0.990909091
1	121100000	0.990909091
1	121300000	0.990909091
1	121500000	0.990909091
1	121700000	0.990909091
1	121900000	0.990909091
1	122100000	0.990909091
1	122300000	0.990909091
1	122500000	0.990909091
1	122700000	0.990909091
1	122900000	0.990909091
1	123100000	0.990909091
1	123300000	0.990909091
1	123500000	0.990909091
1	123700000	0.990909091
1	123900000	0.990909091
1	124100000	0.990909091
1	124300000	0.990909091
1	124500000	0.990909091
1	124700000	0.990909091
1	124900000	0.990909091
1	125100000	0.990909091
1	125300000	0.990909091
1	125500000	0.990909091
1	125700000	0.990909091
1	125900000	0.990909091
1	126100000	0.990909091
1	126300000	0.990909091
1	126500000	0.990909091
1	126700000	0.990909091
1	126900000	0.990909091
1	127100000	0.990909091
1	127300000	0.990909091
1	127500000	0.990909091
1	127700000	0.990909091
1	127900000	0.990909091
1	128100000	0.990909091
1	128300000	0.990909091
1	128500000	0.990909091
1	128700000	0.990909091
1	128900000	0.990909091
1	129100000	0.990909091
1	129300000	0.990909091
1	129500000	0.990909091
1	129700000	0.990909091
1	129900000	0.990909091
1	130100000	0.990909091
1	130300000	0.990909091
1	130500000	0.990909091
1	130700000	0.990909091
1	130900000	0.990909091
1	131100000	0.990909091
1	131300000	0.990909091
1	131500000	0.990909091
1	131700000	0.990909091
1	131900000	0.990909091
1	132100000	0.990909091
1	132300000	0.990909091
1	132500000	0.990909091
1	132700000	0.990909091
1	132900000	0.990909091
1	133100000	0.990909091
1	133300000	0.990909091
1	133500000	0.990909091
1	133700000	0.990909091
1	133900000	0.990909091
1	134100000	0.990909091
1	134300000	0.990909091
1	134500000	0.990909091
1	134700000	0.990909091
1	134900000	0.990909091
1	135100000	0.990909091
1	135300000	0.990909091
1	135500000	0.990909091
1	135700000	0.990909091
1	135900000	0.990909091
1	136100000	0.990909091
1	136300000	0.990909091
1	136500000	0.990909091
1	136700000	0.990909091
1	136900000	0.990909091
1	137100000	0.990909091
1	137300000	0.990909091
1	137500000	0.990909091
1	137700000	0.990909091
1	137900000	0.990909091
1	138100000	0.990909091
1	138300000	0.990909091
1	138500000	0.990909091
1	138700000	0.990909091
1	138900000	0.990909091
1	139100000	0.990909091
1	139300000	0.990909091
1	139500000	0.990909091
1	139700000	0.990909091
1	139900000	0.990909091
1	140100000	0.990909091
1	140300000	0.990909091
1	140500000	0.990909091
1	140700000	0.990909091
1	140900000	0.990909091
1	141100000	0.990909091
1	141300000	0.990909091
1	141500000	0.990909091
1	141700000	0.990909091
1	141900000	0.990909091
1	142100000	0.990909091
1	142300000	0.990909091
1	142500000	0.990909091
1	142700000	0.990909091
1	142900000	0.990909091
1	143100000	0.990909091
1	143300000	0.990909091
1	143500000	0.990909091
1	143700000	0.990909091
1	143900000	0.990909091
1	144100000	0.990909091
1	144300000	0.990909091
1	144500000	0.990909091
1	144700000	0.990909091
1	144900000	0.990909091
1	145100000	0.990909091
1	145300000	0.990909091
1	145500000	0.990909091
1	145700000	0.990909091
1	145900000	0.990909091
1	146100000	0.990909091
1	146300000	0.967592593
1	146500000	0.967592593
1	146700000	0.967592593
1	146900000	0.967592593
1	147100000	0.639430014
1	147300000	0.617460317
1	147500000	0.64963925
1	147700000	0.661002886
1	147900000	0.645851371
1	148100000	0.727103175
1	148300000	0.812518038
1	148500000	0.82972583
1	148700000	0.82972583
1	148900000	0.82972583
1	149100000	0.82972583
1	149300000	0.82972583
1	149500000	0.82972583
1	149700000	0.82972583
1	149900000	0.879292929
1	150100000	0.953030303
1	150300000	1
1	150500000	1
1	150700000	1
1	150900000	1
1	151100000	1
1	151300000	1
1	151500000	1
1	151700000	1
1	151900000	1
1	152100000	1
1	152300000	0.795454545
1	152500000	0.548520924
1	152700000	0.289862915
1	152900000	0.5245671
1	153100000	0.794588745
1	153300000	0.984848485
1	153500000	1
1	153700000	1
1	153900000	0.945454545
1	154100000	0.945454545
1	154300000	0.945454545
1	154500000	0.945454545
1	154700000	0.945454545
1	154900000	0.945454545
1	155100000	0.945454545
1	155300000	0.945454545
1	155500000	1
1	155700000	1
1	155900000	1
1	156100000	1
1	156300000	1
1	156500000	1
1	156700000	1
1	156900000	1
1	157100000	0.954545455
1	157300000	0.863419913
1	157500000	0.644011544
1	157700000	0.667099567
1	157900000	0.812554113
1	158100000	0.803463203
1	158300000	0.586796537
1	158500000	0.368542569
1	158700000	0.244300144
1	158900000	0.244300144
1	159100000	0.153391053
1	159300000	0.211832612
1	159500000	0.28466811
1	159700000	0.483910534
1	159900000	0.653823954
1	160100000	0.859235209
1	160300000	0.840295815
1	160500000	0.755699856
1	160700000	0.77994228
1	160900000	0.931457431
1	161100000	0.98989899
1	161300000	1
1	161500000	1
1	161700000	1
1	161900000	1
1	162100000	1
1	162300000	1
1	162500000	1
1	162700000	1
1	162900000	0.988636364
1	163100000	0.973484848
1	163300000	0.769227994
1	163500000	0.570670996
1	163700000	0.205266955
1	163900000	0.128787879
1	164100000	0.083333333
1	164300000	0.083333333
1	164500000	0.092424242
1	164700000	0.101515152
1	164900000	0.100252525
1	165100000	0.090151515
1	165300000	0.255519481
1	165500000	0.362554113
1	165700000	0.705844156
1	165900000	0.681854257
1	166100000	0.371789322
1	166300000	0.31497114
1	166500000	0.216269841
1	166700000	0.216269841
1	166900000	0.267893218
1	167100000	0.374819625
1	167300000	0.425180375
1	167500000	0.482611833
1	167700000	0.796753247
1	167900000	0.857720058
1	168100000	0.856457431
1	168300000	0.656709957
1	168500000	0.269155844
1	168700000	0.222186147
1	168900000	0.209199134
1	169100000	0.160714286
1	169300000	0.160714286
1	169500000	0.14025974
1	169700000	0.14025974
1	169900000	0.094805195
1	170100000	0.087987013
1	170300000	0.058441558
1	170500000	0.045454545
1	170700000	0.036363636
1	170900000	0.036363636
1	171100000	0.046464646
1	171300000	0.39541847
1	171500000	0.557251082
1	171700000	0.643109668
1	171900000	0.66518759
1	172100000	0.877272727
1	172300000	0.954545455
1	172500000	1
1	172700000	1
1	172900000	1
1	173100000	1
1	173300000	1
1	173500000	0.971861472
1	173700000	0.987012987
1	173900000	0.947510823
1	174100000	0.947619048
1	174300000	0.705591631
1	174500000	0.398304473
1	174700000	0.376984127
1	174900000	0.345165945
1	175100000	0.195815296
1	175300000	0.163636364
1	175500000	0.163636364
1	175700000	0.176623377
1	175900000	0.245310245
1	176100000	0.408802309
1	176300000	0.638167388
1	176500000	0.725649351
1	176700000	0.698773449
1	176900000	0.456132756
1	177100000	0.375468975
1	177300000	0.256421356
1	177500000	0.404906205
1	177700000	0.85530303
1	177900000	0.990909091
1	178100000	1
1	178300000	1
1	178500000	1
1	178700000	1
1	178900000	0.990909091
1	179100000	0.990909091
1	179300000	0.990909091
1	179500000	0.990909091
1	179700000	0.975757576
1	179900000	0.990909091
1	180100000	0.990909091
1	180300000	0.990909091
1	180500000	0.988636364
1	180700000	0.988636364
1	180900000	0.988636364
1	181100000	0.988636364
1	181300000	0.936868687
1	181500000	0.713672439
1	181700000	0.287481962
1	181900000	0.178030303
1	182100000	0.138636364
1	182300000	0.147727273
1	182500000	0.215656566
1	182700000	0.791089466
1	182900000	0.984848485
1	183100000	1
1	183300000	1
1	183500000	1
1	183700000	1
1	183900000	1
1	184100000	1
1	184300000	1
1	184500000	0.984848485
1	184700000	0.984848485
1	184900000	0.956709957
1	185100000	0.829184704
1	185300000	0.768326118
1	185500000	0.700793651
1	185700000	0.682611833
1	185900000	0.728066378
1	186100000	0.639321789
1	186300000	0.526695527
1	186500000	0.456240981
1	186700000	0.324675325
1	186900000	0.304473304
1	187100000	0.157287157
1	187300000	0.101731602
1	187500000	0.070562771
1	187700000	0.070562771
1	187900000	0.116017316
1	188100000	0.106926407
1	188300000	0.061471861
1	188500000	0.061471861
1	188700000	0.061471861
1	188900000	0.031168831
1	189100000	0.031168831
1	189300000	0.031168831
1	189500000	0.042532468
1	189700000	0.062337662
1	189900000	0.062337662
1	190100000	0.138095238
1	190300000	0.031168831
1	190500000	0.031168831
1	190700000	0.031168831
1	190900000	0.031168831
1	191100000	0.042532468
1	191300000	0.042532468
1	191500000	0.031168831
1	191700000	0.031168831
1	191900000	0.044155844
1	192100000	0.129004329
1	192300000	0.247186147
1	192500000	0.355627706
1	192700000	0.562518038
1	192900000	0.58524531
1	193100000	0.899747475
1	193300000	0.667063492
1	193500000	0.32521645
1	193700000	0.200721501
1	193900000	0.08961039
1	194100000	0.08961039
1	194300000	0.08961039
1	194500000	0.08961039
1	194700000	0.044155844
1	194900000	0.044155844
1	195100000	0.044155844
1	195300000	0.044155844
1	195500000	0.068506494
1	195700000	0.057142857
1	195900000	0.146031746
1	196100000	0.338167388
1	196300000	0.447510823
1	196500000	0.628282828
1	196700000	0.642424242
1	196900000	0.621969697
1	197100000	0.708333333
1	197300000	0.708333333
1	197500000	0.682070707
1	197700000	0.719444444
1	197900000	0.862121212
1	198100000	0.897727273
1	198300000	0.897727273
1	198500000	0.909090909
1	198700000	0.893939394
1	198900000	0.811255411
1	199100000	0.792063492
1	199300000	0.776911977
1	199500000	0.776911977
1	199700000	0.758730159
1	199900000	0.747366522
1	200100000	0.893939394
1	200300000	0.909090909
1	200500000	1
1	200700000	1
1	200900000	0.990909091
1	201100000	0.945454545
1	201300000	0.954545455
1	201500000	1
1	201700000	1
1	201900000	1
1	202100000	1
1	202300000	1
1	202500000	1
1	202700000	1
1	202900000	1
1	203100000	1
1	203300000	1
1	203500000	1
1	203700000	1
1	203900000	1
1	204100000	1
1	204300000	1
1	204500000	1
1	204700000	1
1	204900000	1
1	205100000	0.988636364
1	205300000	0.988636364
1	205500000	0.988636364
1	205700000	0.988636364
1	205900000	0.988636364
1	206100000	0.988636364
1	206300000	0.988636364
1	206500000	0.988636364
1	206700000	0.988636364
1	206900000	0.988636364
1	207100000	0.988636364
1	207300000	0.988636364
1	207500000	0.977272727
1	207700000	0.860858586
1	207900000	0.818939394
1	208100000	0.679545455
1	208300000	0.637121212
1	208500000	0.591666667
1	208700000	0.475541126
1	208900000	0.557611833
1	209100000	0.770093795
1	209300000	0.891414141
1	209500000	1
1	209700000	1
1	209900000	1
1	210100000	1
1	210300000	0.987012987
1	210500000	0.951406926
1	210700000	0.906709957
1	210900000	0.871717172
1	211100000	0.890909091
1	211300000	0.981818182
1	211500000	0.981818182
1	211700000	0.981818182
1	211900000	1
1	212100000	1
1	212300000	1
1	212500000	1
1	212700000	0.893939394
1	212900000	0.663924964
1	213100000	0.559126984
1	213300000	0.41002886
1	213500000	0.333549784
1	213700000	0.282792208
1	213900000	0.388095238
1	214100000	0.710786436
1	214300000	0.881818182
1	214500000	0.972727273
1	214700000	0.972727273
1	214900000	0.76969697
1	215100000	0.672979798
1	215300000	0.502272727
1	215500000	0.347655123
1	215700000	0.257647908
1	215900000	0.181637807
1	216100000	0.181637807
1	216300000	0.157287157
1	216500000	0.168650794
1	216700000	0.168650794
1	216900000	0.168650794
1	217100000	0.168650794
1	217300000	0.157287157
1	217500000	0.17027417
1	217700000	0.324819625
1	217900000	0.420021645
1	218100000	0.553354978
1	218300000	0.882323232
1	218500000	0.990909091
1	218700000	0.990909091
1	218900000	0.825
1	219100000	0.796717172
1	219300000	0.67463925
1	219500000	0.633730159
1	219700000	0.513708514
1	219900000	0.405880231
1	220100000	0.341233766
1	220300000	0.328246753
1	220500000	0.227236652
1	220700000	0.263600289
1	220900000	0.286327561
1	221100000	0.296428571
1	221300000	0.305519481
1	221500000	0.325721501
1	221700000	0.43502886
1	221900000	0.502813853
1	222100000	0.487662338
1	222300000	0.530952381
1	222500000	0.566558442
1	222700000	0.566558442
1	222900000	0.520851371
1	223100000	0.492712843
1	223300000	0.692568543
1	223500000	0.841053391
1	223700000	0.922222222
1	223900000	0.950505051
1	224100000	1
1	224300000	1
1	224500000	1
1	224700000	0.988636364
1	224900000	0.988636364
1	225100000	1
1	225300000	1
1	225500000	1
1	225700000	0.936363636
1	225900000	0.927272727
1	226100000	0.917171717
1	226300000	0.895707071
1	226500000	0.774494949
1	226700000	0.729040404
1	226900000	0.819949495
1	227100000	0.890656566
1	227300000	0.902020202
1	227500000	0.751262626
1	227700000	0.702777778
1	227900000	0.644083694
1	228100000	0.633982684
1	228300000	0.624891775
1	228500000	0.624891775
1	228700000	0.568073593
1	228900000	0.556709957
1	229100000	0.528427128
1	229300000	0.594336219
1	229500000	0.682070707
1	229700000	0.663023088
1	229900000	0.607467532
1	230100000	0.606457431
1	230300000	0.606457431
1	230500000	0.621608947
1	230700000	0.632972583
1	230900000	0.61998557
1	231100000	0.63008658
1	231300000	0.614935065
1	231500000	0.620995671
1	231700000	0.534379509
1	231900000	0.400036075
1	232100000	0.37958153
1	232300000	0.303571429
1	232500000	0.20952381
1	232700000	0.20952381
1	232900000	0.21962482
1	233100000	0.310533911
1	233300000	0.352958153
1	233500000	0.352958153
1	233700000	0.391594517
1	233900000	0.583838384
1	234100000	0.642676768
1	234300000	0.824242424
1	234500000	0.954545455
1	234700000	1
1	234900000	1
1	235100000	1
1	235300000	0.988636364
1	235500000	1
1	235700000	1
1	235900000	1
1	236100000	0.581601732
1	236300000	0.359559885
1	236500000	0.245165945
1	236700000	0.131168831
1	236900000	0.109090909
1	237100000	0.109090909
1	237300000	0.109090909
1	237500000	0.139393939
1	237700000	0.139393939
1	237900000	0.139393939
1	238100000	0.139393939
1	238300000	0.152380952
1	238500000	0.152380952
1	238700000	0.162481962
1	238900000	0.152380952
1	239100000	0.152380952
1	239300000	0.152380952
1	239500000	0.326118326
1	239700000	0.377489177
1	239900000	0.71518759
1	240100000	0.839285714
1	240300000	0.841450216
1	240500000	0.819372294
1	240700000	0.6754329
1	240900000	0.621789322
1	241100000	0.608802309
1	241300000	0.613708514
1	241500000	0.713419913
1	241700000	0.744444444
1	241900000	0.728427128
1	242100000	0.59462482
1	242300000	0.491017316
1	242500000	0.445310245
1	242700000	0.433044733
1	242900000	0.47027417
1	243100000	0.466666667
1	243300000	0.451226551
1	243500000	0.661147186
1	243700000	0.852669553
1	243900000	0.880808081
1	244100000	0.971717172
1	244300000	0.960353535
1	244500000	0.770959596
1	244700000	0.732323232
1	244900000	0.65
1	245100000	0.586255411
1	245300000	0.516558442
1	245500000	0.503571429
1	245700000	0.521753247
1	245900000	0.540584416
1	246100000	0.540584416
1	246300000	0.682720058
1	246500000	0.760858586
1	246700000	0.759235209
1	246900000	0.759235209
1	247100000	0.581096681
